Timee,latitude,longitude,pr
1/13/2019,51.23804938,-0.424098976,9.131162
1/13/2019,51.22332786,0.434797775,8.525175
1/13/2019,51.78597226,-1.275051339,9.131168
1/13/2019,51.7773924,-0.40537731,9.131167
1/13/2019,51.76238558,0.463702516,9.0185375
1/13/2019,52.32542784,-1.266266174,8.729387
1/13/2019,52.31668086,-0.38606121,8.738761
1/13/2019,52.30138189,0.493524253,8.678571
1/13/2019,52.86483297,-1.257199,7.826042
1/13/2019,52.85591478,-0.366125358,7.868746
1/13/2019,52.84031651,0.524301988,8.54979
1/14/2019,51.24646605,-1.283566025,4.203984
1/14/2019,51.23804938,-0.424098976,4.2039814
1/14/2019,51.22332786,0.434797775,4.006162
1/14/2019,51.78597226,-1.275051339,4.203984
1/14/2019,51.7773924,-0.40537731,4.203983
1/14/2019,51.76238558,0.463702516,4.1672163
1/14/2019,52.32542784,-1.266266174,3.788174
1/14/2019,52.31668086,-0.38606121,3.7978761
1/14/2019,52.30138189,0.493524253,3.7898583
1/14/2019,52.86483297,-1.257199,2.8532853
1/14/2019,52.85591478,-0.366125358,2.89748
1/14/2019,52.84031651,0.524301988,3.6023064
